City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olonkinbyen,70.9221,-8.7187,-3.58,69,100,3.58,SJ,1702956727
1,constantia,44.1833,28.65,3.38,73,7,3.27,RO,1702956727
2,adamstown,-25.066,-130.1015,22.82,81,100,7.27,PN,1702956727
3,grytviken,-54.2811,-36.5092,2.11,70,20,2.09,GS,1702956727
4,udachny,66.4167,112.4,-28.48,96,80,1.3,RU,1702956727
5,georgetown,5.4112,100.3354,30.53,70,20,4.63,MY,1702956727
6,waddan,29.1614,16.139,10.64,89,0,4.35,LY,1702956728
7,ushuaia,-54.8,-68.3,11.81,71,0,8.23,AR,1702956559
8,new norfolk,-42.7826,147.0587,16.72,45,64,2.63,AU,1702956728
9,ulsteinvik,62.3432,5.8487,8.2,73,83,9.83,NO,1702956728
10,mormugao,15.4,73.8,26.59,57,40,5.14,IN,1702956728
11,punta arenas,-53.15,-70.9167,11.06,71,75,7.72,CL,1702956728
12,choyr,46.3611,108.3611,-27.64,84,8,3.11,MN,1702956728
13,avarua,-21.2078,-159.775,26.03,78,75,6.69,CK,1702956728
14,paramonga,-10.6667,-77.8333,20.74,92,100,3.99,PE,1702956729
15,richards bay,-28.783,32.0377,21.56,93,100,5.92,ZA,1702956729
16,bubaque,11.2833,-15.8333,26.73,44,93,8.62,GW,1702956729
17,yung shue wan,22.2333,114.1167,19.62,80,53,4.35,HK,1702956729
18,igrim,63.1906,64.4162,-12.07,94,100,3.94,RU,1702956729
19,invercargill,-46.4,168.35,19.93,43,99,2.64,NZ,1702956669
20,klyuchi,52.2667,79.1667,-11.45,56,100,8.96,RU,1702956729
21,revda,56.801,59.9303,-11.1,96,61,2.21,RU,1702956573
22,hasaki,35.7333,140.8333,8.22,82,100,6.72,JP,1702956579
23,edinburgh of the seven seas,-37.0676,-12.3116,15.01,81,57,9.1,SH,1702956730
24,weno,7.4515,151.8468,30.97,66,40,5.66,FM,1702956730
25,thompson,55.7435,-97.8558,-9.91,85,20,4.12,CA,1702956730
26,santa isabel,-23.3156,-46.2214,21.61,97,24,0.59,BR,1702956730
27,puerto baquerizo moreno,-0.9,-89.6,24.12,89,85,5.2,EC,1702956730
28,walvis bay,-22.9575,14.5053,16.72,88,94,5.66,NA,1702956730
29,port saint john's,-31.6229,29.5448,20.59,84,100,3.15,ZA,1702956730
30,port-aux-francais,-49.35,70.2167,6.5,73,70,13.28,TF,1702956730
31,boundiali,9.5217,-6.4869,18.03,19,42,2.39,CI,1702956731
32,jwaneng,-24.6004,24.7303,24.13,45,67,3.02,BW,1702956731
33,blackmans bay,-43.0167,147.3167,16.07,75,87,5.34,AU,1702956557
34,pisco,-13.7,-76.2167,20.03,94,20,6.17,PE,1702956731
35,qaqortoq,60.7167,-46.0333,-5.07,83,100,4.42,GL,1702956560
36,brookings,44.3114,-96.7984,-4.34,67,0,6.17,US,1702956725
37,pandan,14.0453,124.1694,27.8,83,100,6.27,PH,1702956731
38,emmett,43.8735,-116.4993,1.46,91,51,0.87,US,1702956731
39,ramapuram,13.1167,79.2,23.02,73,64,3.79,IN,1702956732
40,susuman,62.7833,148.1667,-35.61,100,98,0.59,RU,1702956732
41,les avirons,-21.2418,55.3394,27.05,54,0,2.06,RE,1702956732
42,san antonio de pale,-1.4014,5.6325,27.3,78,97,3.41,GQ,1702956732
43,bel ombre,-4.6167,55.4167,26.91,89,40,1.03,SC,1702956580
44,viedma,-40.8135,-62.9967,11.04,58,0,1.33,AR,1702956577
45,atafu village,-8.5421,-172.5159,29.49,74,82,3.13,TK,1702956732
46,st. john's,47.5649,-52.7093,7.66,92,75,10.29,CA,1702956575
47,hawaiian paradise park,19.5933,-154.9731,22.73,91,75,2.57,US,1702956733
48,west island,-12.1568,96.8225,28.99,65,17,3.6,CC,1702956733
49,yellowknife,62.456,-114.3525,-24.71,77,20,4.63,CA,1702956733
50,isafjordur,66.0755,-23.124,-2.08,82,100,3.57,IS,1702956733
51,mukalla,14.5425,49.1242,22.65,36,0,2.88,YE,1702956733
52,svobodnyy,51.4,128.1333,-21.11,86,99,2.94,RU,1702956734
53,san luis de la loma,17.2706,-100.8939,24.57,86,13,2.31,MX,1702956734
54,amahai,-3.3333,128.9167,30.31,69,40,2.35,ID,1702956734
55,jamestown,42.097,-79.2353,1.77,100,100,7.2,US,1702956482
56,ghadamis,30.1337,9.5007,9.68,90,100,0.57,LY,1702956734
57,tiksi,71.6872,128.8694,-18.04,90,100,6.03,RU,1702956734
58,bilibino,68.0546,166.4372,-32.63,98,100,0.34,RU,1702956734
59,fortuna,40.5982,-124.1573,16.19,95,100,9.77,US,1702956735
60,palikir - national government center,6.9248,158.1611,30.47,70,100,7.72,FM,1702956735
61,ilulissat,69.2167,-51.1,-9.99,73,75,8.23,GL,1702956570
62,puerto natales,-51.7236,-72.4875,8.57,82,97,1.8,CL,1702956693
63,dargecit,37.5454,41.7197,2.16,56,57,2.68,TR,1702956735
64,college,64.8569,-147.8028,-12.03,84,100,0.0,US,1702956735
65,cushing,35.9851,-96.767,3.06,80,0,1.54,US,1702956735
66,tofol,5.3248,163.0078,29.88,74,75,8.23,FM,1702956736
67,puerto ayora,-0.7393,-90.3518,24.75,94,47,0.45,EC,1702956736
68,leua,48.2156,18.6071,0.28,83,30,1.13,SK,1702956736
69,calama,-22.4667,-68.9333,15.27,36,0,1.03,CL,1702956736
70,anadyr,64.75,177.4833,-18.72,78,0,5.0,RU,1702956736
71,albany,42.6001,-73.9662,5.23,83,64,2.68,US,1702956690
72,lata,40.1629,-8.3327,3.88,74,0,1.42,PT,1702956737
73,margaret river,-33.95,115.0667,25.74,37,3,2.07,AU,1702956737
74,papatowai,-46.5619,169.4708,18.97,54,95,2.74,NZ,1702956737
75,karratha,-20.7377,116.8463,31.01,44,0,7.01,AU,1702956737
76,kruisfontein,-34.0033,24.7314,14.94,87,14,1.09,ZA,1702956737
77,utrik,11.2278,169.8474,26.81,78,15,10.26,MH,1702956737
78,enewetak,11.3474,162.3373,27.35,77,21,9.13,MH,1702956738
79,santiago,-33.4569,-70.6483,21.03,42,0,5.14,CL,1702956507
80,bredasdorp,-34.5322,20.0403,14.64,73,0,1.48,ZA,1702956738
81,naze,28.3667,129.4833,22.51,71,77,9.66,JP,1702956738
82,vorgashor,67.5833,63.95,-14.56,87,100,5.55,RU,1702956582
83,hadibu,12.65,54.0333,24.55,81,88,6.67,YE,1702956738
84,kitimat,54.0524,-128.6534,1.21,99,100,1.87,CA,1702956738
85,maridi,4.9158,29.4742,23.84,50,90,1.68,SS,1702956738
86,sao joao da barra,-21.6403,-41.0511,23.5,90,0,2.24,BR,1702956566
87,mexico,15.0646,120.7198,29.84,59,92,6.51,PH,1702956424
88,carutapera,-1.195,-46.02,24.91,93,59,2.78,BR,1702956739
89,shipston on stour,52.0606,-1.6278,12.7,94,100,4.64,GB,1702956739
90,wailua homesteads,22.0669,-159.378,26.24,78,100,10.29,US,1702956739
91,derzhavinsk,51.1,66.3167,-8.75,95,100,5.0,KZ,1702956739
92,bukama,-9.2,25.85,20.67,98,100,1.13,CD,1702956739
93,nykarleby,63.5228,22.5307,1.12,97,100,5.12,FI,1702956739
94,yanchep,-31.55,115.6833,30.63,36,40,5.55,AU,1702956739
95,taoudenni,22.6783,-3.9836,9.74,42,18,6.55,ML,1702956739
96,hammerfest,70.6634,23.6821,-0.75,93,75,1.54,NO,1702956549
97,kresttsy,58.2452,32.5165,1.34,100,100,4.23,RU,1702956740
98,hafar al-batin,28.4328,45.9708,8.32,76,0,0.0,SA,1702956740
99,jinchang,38.4953,102.1739,-10.34,64,93,1.17,CN,1702956740
100,as sulayyil,20.4607,45.5779,7.14,33,89,1.97,SA,1702956740
101,iqaluit,63.7506,-68.5145,-29.56,85,7,2.57,CA,1702956612
102,lake havasu city,34.4839,-114.3224,15.68,31,0,0.0,US,1702956740
103,tewantin,-26.3833,153.0333,30.11,62,32,4.02,AU,1702956741
104,gadzhiyevo,69.2551,33.3362,-10.39,88,8,5.86,RU,1702956575
105,kodiak,57.79,-152.4072,-3.27,80,100,1.54,US,1702956635
106,aasiaat,68.7098,-52.8699,-12.39,90,100,8.65,GL,1702956741
107,la passe,45.5549,-0.8967,3.13,86,18,0.54,FR,1702956741
108,badger,64.8,-147.5333,-12.07,83,100,0.0,US,1702956741
109,san pedro,14.35,121.0167,31.86,76,75,2.57,PH,1702956741
110,jalai nur,49.45,117.7,-27.9,84,81,0.84,CN,1702956741
111,fort st. john,56.2499,-120.8529,-6.06,86,75,4.12,CA,1702956742
112,thinadhoo,0.5333,72.9333,28.14,71,92,0.53,MV,1702956742
113,geraldton,-28.7667,114.6,39.23,15,6,5.66,AU,1702956582
114,lebu,-37.6167,-73.65,11.77,84,9,7.22,CL,1702956557
115,bethel,41.3712,-73.414,6.95,75,20,4.12,US,1702956742
116,waitangi,-43.9535,-176.5597,12.8,70,46,3.01,NZ,1702956742
117,luena,-11.7833,19.9167,18.1,94,0,3.09,AO,1702956742
118,hamilton,39.1834,-84.5333,-1.08,70,75,7.72,US,1702956528
119,ust-nera,64.5667,143.2,-34.98,98,98,1.65,RU,1702956742
120,vila velha,-20.3297,-40.2925,23.97,94,75,2.06,BR,1702956582
121,bamboo flat,11.7,92.7167,30.05,74,20,4.12,IN,1702956743
122,narvik,68.4384,17.4272,1.67,88,100,3.79,NO,1702956743
123,wenchang,30.904,118.4887,0.96,95,97,2.01,CN,1702956743
124,cabedelo,-6.9811,-34.8339,27.37,81,100,3.78,BR,1702956570
125,bujaru,-1.515,-48.0447,23.79,96,31,0.56,BR,1702956743
126,ancud,-41.8697,-73.8203,10.49,66,0,2.83,CL,1702956743
127,port mathurin,-19.6833,63.4167,26.78,81,32,7.64,MU,1702956743
128,sao gabriel da cachoeira,-0.1303,-67.0892,24.3,93,95,0.79,BR,1702956743
129,vidigueira,38.1845,-7.7447,5.33,69,0,1.55,PT,1702956743
130,kununurra,-15.7667,128.7333,38.99,39,43,2.57,AU,1702956688
131,villanueva,15.3167,-88.0,18.55,88,20,1.54,HN,1702956744
132,ribeira grande,38.5167,-28.7,14.32,92,100,8.05,PT,1702956744
133,mopti,14.6667,-4.0,16.54,18,100,6.34,ML,1702956744
134,port lincoln,-34.7333,135.8667,17.04,56,2,8.61,AU,1702956532
135,clovis,36.8252,-119.7029,17.56,65,100,3.09,US,1702956635
136,flying fish cove,-10.4217,105.6791,27.82,69,40,3.6,CX,1702956744
137,acapulco de juarez,16.8634,-99.8901,27.9,78,40,1.03,MX,1702956571
138,hermanus,-34.4187,19.2345,12.11,79,0,4.22,ZA,1702956744
139,kingston,17.997,-76.7936,26.53,79,20,7.2,JM,1702956703
140,whitehorse,60.7161,-135.0538,-12.33,85,20,1.03,CA,1702956744
141,emerald,-23.5333,148.1667,32.41,46,1,5.44,AU,1702956745
142,siwa oasis,29.2041,25.5195,12.9,71,12,3.99,EG,1702956745
143,tuensang,26.2833,94.8333,19.87,48,33,0.74,IN,1702956745
144,broken hill,-31.95,141.4333,29.12,28,43,9.4,AU,1702956745
145,iraquara,-12.2486,-41.6194,20.01,89,100,1.22,BR,1702956745
146,suya,9.4667,3.1833,22.18,19,54,2.85,NG,1702956745
147,caucete,-31.6518,-68.2811,14.32,55,0,4.9,AR,1702956745
148,kovernino,57.1253,43.8142,-4.96,94,59,2.57,RU,1702956745
149,dudinka,69.4058,86.1778,-13.54,83,100,13.41,RU,1702956572
150,mohr,54.3528,9.7167,9.08,96,99,9.26,DE,1702956746
151,port elizabeth,-33.918,25.5701,16.84,92,0,1.54,ZA,1702956746
152,fale old settlement,-9.3852,-171.2468,28.96,74,100,0.46,TK,1702956746
153,cockburn town,21.4612,-71.1419,25.59,80,100,4.33,TC,1702956746
154,tazovsky,67.4667,78.7,-14.24,89,100,9.08,RU,1702956747
155,ta`u,-14.2336,-169.5144,27.98,80,90,3.66,AS,1702956747
156,toamasina,-18.1667,49.3833,26.0,89,40,2.57,MG,1702956747
157,tres arroyos,-38.3739,-60.2798,8.97,71,0,2.62,AR,1702956747
158,rongelap,11.1635,166.8941,27.12,77,22,9.28,MH,1702956747
159,meulaboh,4.1363,96.1285,28.9,69,76,0.39,ID,1702956747
160,luis correia,-2.8792,-41.6669,26.34,86,94,3.72,BR,1702956747
161,kazerun,29.6195,51.6541,11.71,36,100,1.45,IR,1702956748
162,asbach,50.6667,7.4167,3.71,90,77,2.37,DE,1702956748
163,ingeniero guillermo n. juarez,-23.9,-61.85,24.84,93,100,6.41,AR,1702956590
164,zouerate,22.7187,-12.4521,10.82,28,4,5.92,MR,1702956559
165,rio grande,-32.035,-52.0986,21.08,92,100,8.42,BR,1702956363
166,hirado,33.3597,129.5531,6.88,78,100,1.29,JP,1702956748
167,sur,22.5667,59.5289,21.06,58,6,2.85,OM,1702956566
168,tromso,69.6496,18.957,-0.99,86,40,3.6,NO,1702956562
169,kayenta,36.7278,-110.2546,6.06,41,100,0.66,US,1702956749
170,lycksele,64.5954,18.6735,1.91,86,75,3.09,SE,1702956749
171,ankazoabo,-22.2833,44.5167,26.44,61,4,1.91,MG,1702956749
172,touros,-5.1989,-35.4608,26.24,79,100,3.52,BR,1702956749
173,yendi,9.4427,-0.0099,23.23,17,50,2.9,GH,1702956749
174,kashgar,39.4547,75.9797,-7.44,73,100,1.0,CN,1702956749
175,winnipeg,49.8844,-97.147,-8.83,79,40,8.75,CA,1702956517
176,bikenibeu village,1.3673,173.1241,25.98,94,100,3.6,KI,1702956749
177,codrington,-38.2667,141.9667,17.18,47,14,7.42,AU,1702956561
178,selfoss,63.9331,-20.9971,-0.23,83,100,2.92,IS,1702956572
179,ulladulla,-35.35,150.4667,37.65,57,100,6.14,AU,1702956750
180,labrador city,52.9463,-66.9114,5.95,93,100,6.69,CA,1702956611
181,saipan,15.1355,145.701,30.39,74,40,8.75,MP,1702956750
182,kourou,5.1552,-52.6478,26.03,91,39,2.67,GF,1702956605
183,yakoruda,42.0253,23.6842,-6.62,76,0,1.28,BG,1702956750
184,lihue,21.9789,-159.3672,26.58,72,100,10.29,US,1702956750
185,luanda,-8.8368,13.2343,26.0,89,75,0.0,AO,1702956544
186,saudarkrokur,65.7461,-19.6394,-1.66,96,100,1.83,IS,1702956577
187,longyearbyen,78.2186,15.6401,-4.09,63,20,7.72,SJ,1702956569
188,kristiansund,63.1115,7.732,5.36,70,75,15.43,NO,1702956751
189,darnah,32.767,22.6367,16.04,63,69,3.69,LY,1702956751
190,puerto lempira,15.2667,-83.7667,25.25,68,79,8.82,HN,1702956751
191,katsuura,35.1333,140.3,8.96,76,100,4.59,JP,1702956571
192,moses lake,47.1301,-119.2781,1.38,86,100,0.0,US,1702956505
193,waitara,-38.925,174.25,21.38,66,12,3.35,NZ,1702956751
194,kasoa,5.533,-0.4224,27.25,93,71,2.26,GH,1702956751
195,crane,31.3974,-102.3501,11.1,51,100,4.0,US,1702956752
196,thabazimbi,-24.5917,27.4116,24.06,52,56,1.11,ZA,1702956752
197,salamanca,40.8333,-6.0,0.35,49,0,1.56,ES,1702956752
198,erenhot,43.6475,111.9767,-20.05,83,49,4.11,CN,1702956752
199,kamaishi,39.2667,141.8833,2.74,54,100,1.35,JP,1702956586
200,trebic,49.2149,15.8817,5.69,65,0,1.54,CZ,1702956753
201,saldanha,-33.0117,17.9442,13.03,81,1,6.12,ZA,1702956753
202,stanley,54.868,-1.6985,8.62,88,100,4.63,GB,1702956564
203,saint-joseph,-21.3667,55.6167,28.21,76,3,1.3,RE,1702956753
204,bella vista,36.4295,-94.2316,0.51,68,0,0.45,US,1702956754
205,petropavlovsk-kamchatsky,53.0452,158.6483,-5.67,83,40,4.02,RU,1702956636
206,basyun,30.9398,30.8134,13.43,90,6,2.87,EG,1702956754
207,hirara,24.8,125.2833,26.15,65,75,5.14,JP,1702956754
208,fedorovka,53.6314,62.7078,-13.23,93,11,3.72,KZ,1702956754
209,brokopondo,4.75,-55.1667,25.45,87,83,3.77,SR,1702956754
210,letterkenny,54.95,-7.7333,6.63,74,100,4.38,IE,1702956754
211,vereshchagino,58.0789,54.6557,-7.24,96,100,2.94,RU,1702956754
212,qina,26.1642,32.7267,14.66,57,15,1.29,EG,1702956754
213,fisterra,42.9049,-9.2629,5.97,76,60,0.67,ES,1702956589
214,mananjary,-21.2167,48.3333,25.92,76,29,2.4,MG,1702956755
215,east london,-33.0153,27.9116,18.52,88,75,2.57,ZA,1702956561
216,yuzhno-kurilsk,44.0306,145.8556,-2.57,76,100,6.37,RU,1702956574
217,qamdo,31.1667,97.2333,-4.19,37,4,2.07,CN,1702956755
218,vazante,-17.9869,-46.9078,25.92,44,99,1.47,BR,1702956755
219,margate,51.3813,1.3862,12.15,88,100,5.81,GB,1702956490
220,bealanana,-14.55,48.7333,20.77,92,100,0.07,MG,1702956755
221,lodja,-3.4833,23.4333,20.7,99,100,0.7,CD,1702956567
222,torres,-29.3353,-49.7269,26.03,95,100,0.72,BR,1702956755
223,freetown,8.484,-13.2299,19.84,88,40,2.06,SL,1702956755
224,prince george,53.9166,-122.753,0.9,97,100,3.6,CA,1702956755
225,huilong,31.8111,121.655,6.85,79,100,7.36,CN,1702956756
226,port augusta,-32.5,137.7667,24.67,31,31,11.71,AU,1702956756
227,la'ie,21.6477,-157.9253,22.47,76,100,9.81,US,1702956756
228,yasnyy,51.0333,59.8742,-10.39,97,88,3.9,RU,1702956756
229,iskateley,67.6803,53.1512,-11.66,93,97,6.71,RU,1702956756
230,nuuk,64.1835,-51.7216,-7.66,86,100,4.63,GL,1702956756
231,lompoc,34.6391,-120.4579,16.12,84,20,6.69,US,1702956756
232,eydhafushi,5.1033,73.0708,28.15,70,43,1.28,MV,1702956756
233,knyaze-volkonskoye,48.4642,135.4567,-23.73,91,100,2.68,RU,1702956756
234,hualien city,23.9769,121.6044,23.84,77,9,4.54,TW,1702956756
235,shenkursk,62.1091,42.896,-3.8,95,100,3.51,RU,1702956757
236,chonchi,-42.6128,-73.8092,11.56,85,0,1.61,CL,1702956559
237,santa cruz,-17.8,-63.1667,27.7,78,75,5.66,BO,1702956605
238,willowmore,-33.2926,23.4895,13.74,79,10,2.85,ZA,1702956757
239,ninghai,29.2892,121.4247,4.38,90,100,3.66,CN,1702956757
240,vadso,70.0744,29.7487,-1.91,80,48,9.77,NO,1702956578
241,mil'kovo,55.6078,37.7956,2.08,100,100,4.19,RU,1702956757
242,callao,-12.0667,-77.15,23.73,78,40,5.14,PE,1702956757
243,hithadhoo,-0.6,73.0833,27.42,79,41,2.67,MV,1702956757
244,champerico,14.3,-91.9167,26.08,77,39,1.82,GT,1702956757
245,nagqu,31.5,92.0,-16.14,57,2,0.79,CN,1702956757
246,lockwood,45.8191,-108.4149,9.55,27,75,6.69,US,1702956758
247,itacare,-14.2775,-38.9967,24.16,87,54,1.98,BR,1702956758
248,yigo village,13.5361,144.8886,29.16,79,20,7.72,GU,1702956758
249,uturoa,-16.7333,-151.4333,26.95,76,100,3.33,PF,1702956573
250,labruguiere,43.5386,2.2639,6.49,93,0,0.0,FR,1702956758
251,haimen,23.1935,116.6142,17.94,60,0,4.15,CN,1702956758
252,boumerdas,36.7664,3.4772,11.08,88,100,5.22,DZ,1702956758
253,lahti,59.9911,30.1597,2.1,99,100,4.61,RU,1702956758
254,qa'en,33.7265,59.1844,3.6,66,100,1.82,IR,1702956758
255,tulum,20.2167,-87.4667,18.25,78,0,2.89,MX,1702956514
256,acarau,-2.8856,-40.12,26.18,86,100,3.38,BR,1702956758
257,miandoab,36.9694,46.1027,-0.79,67,19,0.69,IR,1702956759
258,portland,45.5234,-122.6762,8.45,73,100,5.66,US,1702956453
259,fort bragg,35.139,-79.006,7.17,66,100,6.69,US,1702956759
260,tomohon,1.3346,124.8392,27.52,77,89,0.76,ID,1702956759
261,skeldon,5.8833,-57.1333,24.74,92,26,2.27,GY,1702956759
262,nemuro,43.3236,145.575,-3.54,55,27,6.8,JP,1702956759
263,miranda,3.2499,-76.2281,23.07,92,100,0.57,CO,1702956759
264,praia da vitoria,38.7333,-27.0667,14.31,94,75,12.66,PT,1702956759
265,laguna,38.421,-121.4238,14.98,89,100,6.69,US,1702956624
266,misratah,32.3754,15.0925,16.28,74,47,4.58,LY,1702956759
267,coquimbo,-29.9533,-71.3436,15.85,88,100,2.57,CL,1702956759
268,talnakh,69.4865,88.3972,-13.77,75,100,9.33,RU,1702956566
269,impfondo,1.6381,18.0667,22.42,72,99,0.86,CG,1702956760
270,dondo,-19.6094,34.7431,25.73,86,94,0.57,MZ,1702956760
271,todos santos,23.45,-110.2167,23.02,73,84,2.03,MX,1702956573
272,ban houakhoua,20.2453,100.4547,27.12,49,3,0.41,LA,1702956760
273,villa rica,33.7321,-84.9191,5.13,49,0,2.68,US,1702956760
274,maracacume,-2.0428,-45.9592,23.81,96,58,1.1,BR,1702956760
275,caras,-9.0467,-77.8114,17.01,87,100,0.97,PE,1702956760
276,ad dabbah,18.05,30.95,18.96,34,0,4.04,SD,1702956760
277,barakani,-12.1356,44.4317,27.64,70,94,1.97,KM,1702956760
278,ohara,35.25,140.3833,8.74,80,100,5.0,JP,1702956760
279,ola,59.5833,151.2833,-22.91,84,37,5.32,RU,1702956761
280,undurkhaan,47.3194,110.6556,-28.07,86,22,1.82,MN,1702956761
281,bay harbor,30.1471,-85.6146,11.97,69,0,4.63,US,1702956761
